Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.2,0.2,0.15,0.15,0.05,0.2,0.05,9.4187,0.3285,2580.2,Nb-Ta-V-Cr-Mo-Ti-W,429.58065329427296,0.1732050807568877,2079.5626890484855,2438.210248983234,1806.4126890484854,2165.060248983234,False
0.2,0.2,0.2,0.15,0.05,0.15,0.05,9.4989,0.331,2592.3,Nb-Ta-V-Cr-Mo-Ti-W,479.2188007831908,0.135400640077266,2118.6914279925845,2448.661599896749,1845.5414279925844,2175.511599896749,False
0.2,0.2,0.25,0.1,0.05,0.15,0.05,9.4469,0.339,2592.45,Nb-Ta-V-Cr-Mo-Ti-W,405.3197644891756,0.1080123449734643,2177.687748809586,2471.196110210057,1904.537748809586,2198.046110210057,False
0.25,0.05,0.2,0.1,0.15,0.15,0.1,9.0569,0.3345,2601.65,Nb-Ta-V-Cr-Mo-Ti-W,493.5717855051712,0.1914854215512676,2209.1824184672805,2490.1191282535524,1936.0324184672804,2216.9691282535523,False
0.25,0.05,0.25,0.05,0.1,0.15,0.15,9.4534,0.341,2641.75,Nb-Ta-V-Cr-Mo-Ti-W,426.0367750954255,0.187082869338697,2296.851150220741,2563.7425275243027,2023.701150220741,2290.5925275243026,False
0.25,0.05,0.25,0.05,0.15,0.15,0.1,9.004900000000001,0.3425,2601.8,Nb-Ta-V-Cr-Mo-Ti-W,406.1125392980604,0.187082869338697,2279.6662695602427,2516.6334019144642,2006.5162695602426,2243.483401914464,False
0.25,0.05,0.25,0.05,0.2,0.1,0.1,9.2936,0.3419999999999999,2649.55,Nb-Ta-V-Cr-Mo-Ti-W,475.803653134204,0.2,2329.9704484654094,2573.8629009047704,2056.8204484654093,2300.7129009047703,False
0.25,0.05,0.25,0.1,0.05,0.15,0.15,9.2969,0.336,2605.95,Nb-Ta-V-Cr-Mo-Ti-W,483.3968705505767,0.2,2211.3793515074294,2501.383207517526,1938.2293515074293,2228.233207517526,False
0.25,0.05,0.25,0.1,0.15,0.1,0.1,9.1371,0.337,2613.75,Nb-Ta-V-Cr-Mo-Ti-W,540.270034088827,0.187082869338697,2239.809116545395,2500.778822332947,1966.6591165453951,2227.628822332947,False
0.25,0.05,0.25,0.15,0.1,0.1,0.1,8.9806,0.332,2577.95,Nb-Ta-V-Cr-Mo-Ti-W,579.6002925809578,0.2,2170.842806284138,2432.79873986023,1897.692806284138,2159.64873986023,False
