Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.15,0.15,0.35,0.1,0.15,0.05,0.05,9.3723,0.338,2604.25,Nb-Ta-V-Cr-Mo-Ti-W,559.0289215942595,0.1914854215512676,2267.7813184150114,2506.1468632084307,1994.6313184150113,2232.9968632084306,False
0.15,0.2,0.2,0.1,0.1,0.2,0.05,9.4522,0.3319999999999999,2587.65,Nb-Ta-V-Cr-Mo-Ti-W,410.3925065089932,0.1414213562373095,2174.4781145498864,2486.3376808080993,1901.3281145498863,2213.1876808080992,False
0.15,0.2,0.3,0.15,0.05,0.1,0.05,9.4561,0.332,2576.05,Nb-Ta-V-Cr-Mo-Ti-W,526.4506610844435,0.1632993161855452,2154.6134532350743,2433.833529064077,1881.4634532350742,2160.683529064077,False
0.15,0.2,0.35,0.1,0.05,0.1,0.05,9.4041,0.34,2576.2,Nb-Ta-V-Cr-Mo-Ti-W,453.5593446180932,0.1732050807568877,2190.1125702816657,2452.309194090086,1916.9625702816656,2179.1591940900857,False
0.2,0.05,0.25,0.1,0.1,0.15,0.15,9.3824,0.3315,2613.25,Nb-Ta-V-Cr-Mo-Ti-W,524.9551925417364,0.1914854215512676,2232.731796895493,2525.209397054954,1959.581796895493,2252.059397054954,False
0.2,0.05,0.25,0.1,0.15,0.15,0.1,8.933900000000001,0.333,2573.3,Nb-Ta-V-Cr-Mo-Ti-W,500.8640262472494,0.1914854215512676,2216.3854015522884,2472.2969188772768,1943.2354015522883,2199.1469188772767,False
0.2,0.05,0.3,0.05,0.1,0.15,0.15,9.3304,0.3395,2613.4,Nb-Ta-V-Cr-Mo-Ti-W,437.6060228433663,0.2,2285.1261971191393,2542.433678795414,2011.9761971191392,2269.283678795414,False
0.2,0.05,0.3,0.05,0.15,0.15,0.1,8.8819,0.341,2573.4500000000003,Nb-Ta-V-Cr-Mo-Ti-W,416.4979650190273,0.2,2270.3424236095093,2496.155116322552,1997.1924236095092,2223.005116322552,False
0.2,0.05,0.3,0.1,0.1,0.1,0.15,9.4626,0.334,2625.35,Nb-Ta-V-Cr-Mo-Ti-W,564.2756161110804,0.2,2262.4501045172733,2534.24206643542,1989.3001045172732,2261.09206643542,False
0.2,0.05,0.3,0.1,0.15,0.1,0.1,9.0141,0.3355,2585.4,Nb-Ta-V-Cr-Mo-Ti-W,537.844465542336,0.2,2245.5959387341777,2483.1882096748313,1972.4459387341776,2210.0382096748313,False
