Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.1,0.2,0.15,0.05,0.15,0.1,9.2209,0.331,2585.55,Nb-Ta-V-Cr-Mo-Ti-W,512.5651176987049,0.1732050807568877,2128.6848349848183,2448.6270764491833,1855.5348349848182,2175.477076449183,False
0.25,0.1,0.2,0.15,0.15,0.1,0.05,9.0611,0.332,2593.35,Nb-Ta-V-Cr-Mo-Ti-W,578.8445597432055,0.1732050807568877,2152.080681032755,2438.0798683793955,1878.9306810327548,2164.9298683793954,False
0.25,0.1,0.2,0.15,0.2,0.05,0.05,9.349800000000002,0.3315,2641.1000000000004,Nb-Ta-V-Cr-Mo-Ti-W,673.2751151902357,0.2,2193.8293448493605,2495.2771836081574,1920.6793448493604,2222.1271836081573,False
0.25,0.1,0.2,0.2,0.05,0.1,0.1,9.3531,0.3255,2597.5,Nb-Ta-V-Cr-Mo-Ti-W,636.1255474562291,0.2,2110.9651308568436,2440.5326612130743,1837.8151308568436,2167.3826612130742,False
0.25,0.1,0.25,0.05,0.2,0.1,0.05,9.1656,0.345,2629.3,Nb-Ta-V-Cr-Mo-Ti-W,438.8806210542013,0.1683250823060346,2309.826190973187,2546.1332425602654,2036.6761909731867,2272.9832425602654,False
0.25,0.1,0.25,0.1,0.05,0.15,0.1,9.1689,0.3389999999999999,2585.7,Nb-Ta-V-Cr-Mo-Ti-W,434.7403820548505,0.1527525231651946,2188.142272383394,2466.371951548142,1914.9922723833938,2193.221951548142,False
0.25,0.1,0.25,0.1,0.1,0.1,0.1,9.4576,0.3385,2633.45,Nb-Ta-V-Cr-Mo-Ti-W,519.8803916711325,0.135400640077266,2239.878033909096,2521.7375167490854,1966.7280339090958,2248.5875167490854,False
0.25,0.1,0.25,0.1,0.15,0.1,0.05,9.0091,0.34,2593.5,Nb-Ta-V-Cr-Mo-Ti-W,494.4011532937821,0.1527525231651946,2218.6200256403604,2468.091895617706,1945.4700256403603,2194.941895617706,False
0.25,0.1,0.25,0.1,0.2,0.05,0.05,9.2978,0.3395,2641.25,Nb-Ta-V-Cr-Mo-Ti-W,579.6224221659139,0.1825741858350553,2265.6316599933302,2526.302476406885,1992.4816599933301,2253.152476406885,False
0.25,0.1,0.25,0.15,0.05,0.1,0.1,9.3011,0.3335,2597.65,Nb-Ta-V-Cr-Mo-Ti-W,555.3256852758976,0.1683250823060346,2169.9463836996815,2458.5656417049217,1896.7963836996814,2185.4156417049217,False
