Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.2,0.15,0.15,0.15,0.1,0.0,9.4621,0.3335,2628.45,Nb-Ta-V-Cr-Mo-Ti,531.9958112336451,0.1683250823060346,2135.2056052801486,2464.879512724992,1862.0556052801485,2191.7295127249918,False
0.25,0.2,0.15,0.2,0.1,0.1,0.0,9.3056,0.3285,2592.65,Nb-Ta-V-Cr-Mo-Ti,562.1931350149405,0.1957890020745122,2058.435956255003,2380.5564320316553,1785.285956255003,2107.406432031655,False
0.25,0.2,0.2,0.1,0.15,0.1,0.0,9.4101,0.3415,2628.6,Nb-Ta-V-Cr-Mo-Ti,449.0280426894912,0.1290994448735805,2220.039090547776,2501.247240800002,1946.889090547776,2228.097240800002,False
0.25,0.2,0.2,0.15,0.1,0.1,0.0,9.2536,0.3365,2592.8,Nb-Ta-V-Cr-Mo-Ti,485.0162206216236,0.1471960144387974,2136.2304061874866,2417.893855878761,1863.0804061874865,2144.7438558787608,False
0.25,0.2,0.2,0.2,0.1,0.05,0.0,9.3858,0.331,2604.75,Nb-Ta-V-Cr-Mo-Ti,608.2853379762681,0.1914854215512676,2117.9412209736424,2397.4352462995917,1844.7912209736423,2124.2852462995916,False
0.25,0.2,0.25,0.1,0.1,0.1,0.0,9.2016,0.3445,2592.95,Nb-Ta-V-Cr-Mo-Ti,410.2920255361553,0.1224744871391589,2199.5796365407655,2450.782022842618,1926.4296365407654,2177.632022842618,False
0.25,0.2,0.25,0.1,0.15,0.05,0.0,9.4903,0.344,2640.7,Nb-Ta-V-Cr-Mo-Ti,500.3080125884606,0.1414213562373095,2252.21853191349,2512.667630308596,1979.06853191349,2239.517630308596,False
0.25,0.2,0.25,0.15,0.1,0.05,0.0,9.3338,0.339,2604.9,Nb-Ta-V-Cr-Mo-Ti,529.6583315595002,0.1581138830084189,2181.0135777673004,2431.288368828703,1907.8635777673003,2158.138368828703,False
0.25,0.2,0.3,0.05,0.15,0.05,0.0,9.4383,0.352,2640.8500000000004,Nb-Ta-V-Cr-Mo-Ti,418.2962168741796,0.1527525231651946,2307.6080220024915,2542.7379667133996,2034.4580220024914,2269.5879667133995,False
0.25,0.2,0.3,0.1,0.1,0.05,0.0,9.2818,0.347,2605.05,Nb-Ta-V-Cr-Mo-Ti,453.2802519618525,0.1527525231651946,2230.842417292485,2461.1018458517,1957.692417292485,2187.9518458517,False
