Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.1,0.15,0.25,0.1,0.1,0.2,0.1,9.4572,0.3275,2579.55,Nb-Ta-V-Cr-Mo-Ti-W,468.0064462056324,0.1779513042005218,2194.259211552703,2507.46099498422,1921.109211552703,2234.31099498422,False
0.1,0.15,0.25,0.1,0.2,0.15,0.05,9.2974,0.3285,2587.35,Nb-Ta-V-Cr-Mo-Ti-W,523.272660365696,0.1914854215512676,2244.3363007129838,2515.2440410026647,1971.1863007129837,2242.0940410026647,False
0.1,0.15,0.3,0.05,0.2,0.15,0.05,9.2454,0.3365,2587.5,Nb-Ta-V-Cr-Mo-Ti-W,436.7428060354608,0.2,2292.5839532697228,2537.0410642415945,2019.4339532697227,2263.8910642415944,False
0.1,0.15,0.3,0.1,0.2,0.1,0.05,9.3776,0.331,2599.45,Nb-Ta-V-Cr-Mo-Ti-W,562.054548276821,0.2,2270.5339150198433,2528.2127028272976,1997.3839150198432,2255.0627028272975,False
0.1,0.15,0.35,0.05,0.1,0.15,0.1,9.485400000000002,0.338,2591.8,Nb-Ta-V-Cr-Mo-Ti-W,427.7007850673489,0.1957890020745121,2257.676395512237,2530.886005739886,1984.5263955122368,2257.736005739886,False
0.1,0.2,0.35,0.1,0.1,0.1,0.05,9.4896,0.3355,2583.5,Nb-Ta-V-Cr-Mo-Ti-W,501.9924323432611,0.1914854215512676,2216.113924037666,2486.9605324816393,1942.963924037666,2213.8105324816393,False
0.15,0.1,0.2,0.05,0.2,0.2,0.1,9.4162,0.3325,2624.0,Nb-Ta-V-Cr-Mo-Ti-W,405.6128840388666,0.1957890020745122,2316.014776979803,2577.7940182701946,2042.864776979803,2304.6440182701945,False
0.15,0.1,0.2,0.1,0.15,0.2,0.1,9.2597,0.3275,2588.2,Nb-Ta-V-Cr-Mo-Ti-W,478.4822313856035,0.1825741858350553,2210.3857344730523,2509.6197307602297,1937.2357344730522,2236.4697307602296,False
0.15,0.1,0.25,0.05,0.2,0.15,0.1,9.4964,0.3349999999999999,2636.1,Nb-Ta-V-Cr-Mo-Ti-W,458.760873078492,0.1779513042005218,2329.910936859112,2585.961185491983,2056.760936859112,2312.811185491983,False
0.15,0.1,0.25,0.1,0.05,0.2,0.15,9.4997,0.329,2592.5,Nb-Ta-V-Cr-Mo-Ti-W,468.9053524816245,0.1914854215512676,2192.6943972101008,2519.460345954653,1919.5443972101007,2246.310345954653,False
