Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.05,0.3,0.05,0.15,0.1,0.1,9.0851,0.345,2613.9,Nb-Ta-V-Cr-Mo-Ti-W,451.95918529866185,0.1957890020745121,2297.7458950699493,2526.0806445110493,2024.5958950699492,2252.930644511049,False
0.25,0.05,0.3,0.1,0.1,0.1,0.1,8.9286,0.34,2578.1,Nb-Ta-V-Cr-Mo-Ti-W,497.9555291984453,0.1957890020745122,2222.037005523684,2454.793817347584,1948.887005523684,2181.643817347584,False
0.25,0.1,0.15,0.1,0.1,0.2,0.1,9.2972,0.3335,2609.25,Nb-Ta-V-Cr-Mo-Ti-W,416.0541669498844,0.1779513042005218,2181.6597271281926,2504.978365377972,1908.5097271281925,2231.8283653779717,False
0.25,0.1,0.15,0.1,0.2,0.15,0.05,9.1374,0.3345,2617.05,Nb-Ta-V-Cr-Mo-Ti-W,474.58976782570033,0.1914854215512676,2201.2901452267492,2503.833341534009,1928.1401452267492,2230.683341534009,False
0.25,0.1,0.15,0.15,0.1,0.15,0.1,9.4294,0.328,2621.2000000000003,Nb-Ta-V-Cr-Mo-Ti-W,556.4785898870372,0.1779513042005218,2131.3135731607817,2489.476296032394,1858.1635731607817,2216.326296032394,False
0.25,0.1,0.15,0.15,0.15,0.15,0.05,8.9809,0.3295,2581.25,Nb-Ta-V-Cr-Mo-Ti-W,530.8709722906807,0.1914854215512676,2108.2275040803906,2425.536140362202,1835.0775040803906,2152.386140362202,False
0.25,0.1,0.2,0.05,0.25,0.1,0.05,9.3741,0.3419999999999999,2664.95,Nb-Ta-V-Cr-Mo-Ti-W,454.6943509666679,0.2,2342.1781476226774,2593.0995244285195,2069.0281476226774,2319.9495244285195,False
0.25,0.1,0.2,0.1,0.1,0.15,0.1,9.377400000000002,0.336,2621.35,Nb-Ta-V-Cr-Mo-Ti-W,470.2578746233692,0.1414213562373095,2209.801966724384,2512.3989257693784,1936.6519667243838,2239.2489257693783,False
0.25,0.1,0.2,0.1,0.15,0.15,0.05,8.9289,0.3375,2581.4,Nb-Ta-V-Cr-Mo-Ti-W,447.5629927174288,0.1581138830084189,2188.4573959474956,2457.5837239558937,1915.3073959474955,2184.4337239558936,False
0.25,0.1,0.2,0.1,0.2,0.1,0.05,9.2176,0.337,2629.15,Nb-Ta-V-Cr-Mo-Ti-W,529.905125500966,0.1732050807568877,2232.990001841133,2514.75783859117,1959.840001841133,2241.60783859117,False
