Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.2,0.2,0.3,0.15,0.15,0.0,0.0,9.4995,0.3369999999999999,2624.3,Nb-Ta-V-Cr-Mo,634.1211723567399,0.1999999999999999,2242.1542155519724,2475.2333817570907,1969.0042155519723,2202.0833817570906,False
0.25,0.2,0.3,0.15,0.1,0.0,0.0,9.414,0.3415,2617.0,Nb-Ta-V-Cr-Mo,569.1327089571864,0.1957890020745121,2227.3191743174584,2444.234133853716,1954.1691743174583,2171.0841338537157,False
0.3,0.2,0.3,0.1,0.1,0.0,0.0,9.485,0.351,2645.5,Nb-Ta-V-Cr-Mo,481.78664686713006,0.1914854215512676,2276.412099517594,2499.056608352892,2003.262099517594,2225.906608352892,False
