Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.1,0.25,0.2,0.1,0.15,0.2,0.0,9.4097,0.3305,2574.7,Nb-Ta-V-Cr-Mo-Ti,410.474760367162,0.2,2177.9959597908974,2470.6154225241767,1904.8459597908973,2197.4654225241766,False
0.1,0.25,0.25,0.1,0.15,0.15,0.0,9.4899,0.3329999999999999,2586.8,Nb-Ta-V-Cr-Mo-Ti,459.44221839168864,0.1825741858350553,2202.4736859452887,2486.7377209061815,1929.3236859452886,2213.5877209061814,False
0.15,0.2,0.2,0.05,0.25,0.15,0.0,9.448900000000002,0.338,2631.25,Nb-Ta-V-Cr-Mo-Ti,404.9936025791445,0.2,2331.61626798505,2569.8918338343165,2058.46626798505,2296.7418338343164,False
0.15,0.2,0.2,0.1,0.2,0.15,0.0,9.2924,0.333,2595.4500000000003,Nb-Ta-V-Cr-Mo-Ti,471.4243983433577,0.1732050807568877,2216.9412750965676,2493.6240883247674,1943.7912750965675,2220.4740883247673,False
0.15,0.2,0.2,0.15,0.2,0.1,0.0,9.424600000000002,0.3275,2607.4,Nb-Ta-V-Cr-Mo-Ti,607.4852211951423,0.187082869338697,2183.3913076384615,2477.8707800851817,1910.2413076384614,2204.7207800851816,False
0.15,0.2,0.25,0.1,0.2,0.1,0.0,9.3726,0.3355,2607.55,Nb-Ta-V-Cr-Mo-Ti,520.9626852492778,0.1683250823060346,2244.5331527759554,2507.9986313457453,1971.3831527759553,2234.848631345745,False
0.15,0.2,0.3,0.05,0.2,0.1,0.0,9.3206,0.3434999999999999,2607.7,Nb-Ta-V-Cr-Mo-Ti,436.42442194533936,0.1779513042005218,2296.2022900746338,2535.431615586973,2023.0522900746337,2262.2816155869727,False
0.15,0.2,0.3,0.1,0.2,0.05,0.0,9.4528,0.3379999999999999,2619.65,Nb-Ta-V-Cr-Mo-Ti,564.8484876745568,0.1914854215512676,2273.757140756607,2521.800732777923,2000.607140756607,2248.6507327779227,False
0.15,0.2,0.3,0.15,0.15,0.05,0.0,9.2963,0.333,2583.85,Nb-Ta-V-Cr-Mo-Ti,592.8425148631013,0.1914854215512676,2205.011033905597,2445.3855209890853,1931.8610339055967,2172.235520989085,False
0.15,0.2,0.35,0.1,0.15,0.05,0.0,9.2443,0.3409999999999999,2584.0,Nb-Ta-V-Cr-Mo-Ti,513.9968398288212,0.1999999999999999,2241.372176535793,2471.006274322706,1968.222176535793,2197.8562743227058,False
