Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.3,0.15,0.1,0.15,0.1,0.15,0.05,9.4244,0.3325,2629.3,Nb-Ta-V-Cr-Mo-Ti-W,473.4497070426152,0.2,2089.8516953202393,2475.010046269585,1816.7016953202392,2201.860046269585,False
0.3,0.15,0.15,0.15,0.05,0.15,0.05,9.2159,0.3355,2593.65,Nb-Ta-V-Cr-Mo-Ti-W,434.6626440901876,0.1825741858350553,2102.2814870666343,2435.124565338158,1829.1314870666342,2161.974565338158,False
0.3,0.15,0.2,0.1,0.1,0.1,0.05,9.4526,0.3429999999999999,2641.55,Nb-Ta-V-Cr-Mo-Ti-W,447.17431240083033,0.1290994448735805,2224.1275705114012,2515.1150748679397,1950.9775705114012,2241.9650748679396,False
0.3,0.15,0.2,0.15,0.05,0.1,0.05,9.2961,0.338,2605.75,Nb-Ta-V-Cr-Mo-Ti-W,483.26575935989257,0.1632993161855452,2146.9385910302717,2445.796776365545,1873.7885910302716,2172.646776365545,False
0.3,0.15,0.25,0.1,0.05,0.1,0.05,9.2441,0.346,2605.9,Nb-Ta-V-Cr-Mo-Ti-W,408.29236423226166,0.1414213562373095,2207.722417013244,2467.904418664805,1934.572417013244,2194.7544186648047,False
0.3,0.15,0.25,0.15,0.05,0.05,0.05,9.3763,0.3405,2617.85,Nb-Ta-V-Cr-Mo-Ti-W,527.6239952675114,0.1732050807568877,2193.241387833225,2457.65929211869,1920.0913878332249,2184.5092921186897,False
0.3,0.15,0.3,0.05,0.1,0.05,0.05,9.4808,0.3535,2653.8,Nb-Ta-V-Cr-Mo-Ti-W,416.0566123993099,0.1527525231651946,2310.0842973766407,2549.093426682595,2036.9342973766406,2275.9434266825947,False
0.3,0.15,0.3,0.1,0.05,0.05,0.05,9.3243,0.3485,2618.0,Nb-Ta-V-Cr-Mo-Ti-W,450.9813656137718,0.1683250823060346,2240.3592625357514,2477.197770153278,1967.2092625357513,2204.0477701532777,False
0.35,0.1,0.2,0.1,0.05,0.1,0.1,9.4951,0.3445,2654.5,Nb-Ta-V-Cr-Mo-Ti-W,445.07608816697,0.1914854215512676,2235.4434530077465,2532.388011150401,1962.2934530077464,2259.238011150401,False
0.35,0.1,0.2,0.1,0.1,0.1,0.05,9.0466,0.346,2614.55,Nb-Ta-V-Cr-Mo-Ti-W,421.2319187190539,0.1914854215512676,2204.350938409232,2472.2422866457723,1931.200938409232,2199.092286645772,False
