Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.3,0.2,0.2,0.15,0.05,0.1,0.0,9.1681,0.341,2585.5,Nb-Ta-V-Cr-Mo-Ti,415.755181444608,0.1732050807568877,2130.6904114459103,2398.607450352407,1857.5404114459102,2125.457450352407,False
0.3,0.2,0.2,0.15,0.1,0.05,0.0,9.4568,0.3404999999999999,2633.25,Nb-Ta-V-Cr-Mo-Ti,515.2466211643145,0.1732050807568877,2174.3533557946257,2457.2943759623363,1901.2033557946256,2184.144375962336,False
0.3,0.2,0.25,0.1,0.1,0.05,0.0,9.404800000000002,0.3485,2633.4,Nb-Ta-V-Cr-Mo-Ti,437.01120411516337,0.1527525231651946,2241.370847772484,2489.913632621441,1968.220847772484,2216.763632621441,False
0.3,0.2,0.25,0.15,0.05,0.05,0.0,9.2483,0.3435,2597.6,Nb-Ta-V-Cr-Mo-Ti,458.2694268002559,0.1825741858350553,2175.9220508730227,2409.8104968030325,1902.7720508730226,2136.6604968030324,False
0.35,0.15,0.2,0.1,0.15,0.05,0.0,9.2073,0.3485,2642.05,Nb-Ta-V-Cr-Mo-Ti,449.3768259008466,0.1999999999999999,2226.245012372127,2495.9984235766765,1953.0950123721268,2222.8484235766764,False
0.35,0.15,0.25,0.1,0.1,0.05,0.0,8.9988,0.3515,2606.4,Nb-Ta-V-Cr-Mo-Ti,407.79760406899896,0.1957890020745121,2222.8635479286295,2446.539856560297,1949.7135479286294,2173.3898565602967,False
