Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.15,0.1,0.25,0.1,0.15,0.15,0.1,9.3399,0.3299999999999999,2600.3,Nb-Ta-V-Cr-Mo-Ti-W,524.228492079417,0.1632993161855452,2236.2436398797677,2518.466936309521,1963.0936398797676,2245.3169363095208,False
0.15,0.1,0.25,0.15,0.15,0.1,0.1,9.4721,0.3245,2612.25,Nb-Ta-V-Cr-Mo-Ti-W,651.874451595785,0.1779513042005218,2215.658962104754,2508.7826929778203,1942.5089621047541,2235.63269297782,False
0.15,0.1,0.3,0.05,0.15,0.15,0.1,9.2879,0.3379999999999999,2600.4500000000003,Nb-Ta-V-Cr-Mo-Ti-W,437.27971466475856,0.1732050807568877,2287.691837124471,2538.741804245741,2014.541837124471,2265.591804245741,False
0.15,0.1,0.3,0.1,0.15,0.1,0.1,9.4201,0.3325,2612.4,Nb-Ta-V-Cr-Mo-Ti-W,563.2898675137761,0.1732050807568877,2264.1764346408972,2528.750066851852,1991.0264346408972,2255.600066851852,False
0.15,0.1,0.3,0.15,0.1,0.1,0.1,9.2636,0.3275,2576.6,Nb-Ta-V-Cr-Mo-Ti-W,596.4367442969063,0.187082869338697,2195.8048615251673,2462.3067238523645,1922.6548615251672,2189.1567238523644,False
0.15,0.1,0.35,0.05,0.15,0.1,0.1,9.3681,0.3405,2612.55,Nb-Ta-V-Cr-Mo-Ti-W,476.0928242135365,0.1957890020745121,2305.4110510319674,2547.7183218268465,2032.2610510319673,2274.5683218268464,False
0.15,0.1,0.35,0.1,0.1,0.1,0.1,9.2116,0.3355,2576.75,Nb-Ta-V-Cr-Mo-Ti-W,516.3255190557235,0.1957890020745121,2233.452812153967,2479.560484213914,1960.302812153967,2206.410484213914,False
0.15,0.15,0.15,0.1,0.1,0.25,0.1,9.5,0.3265,2595.8,Nb-Ta-V-Cr-Mo-Ti-W,404.3355854145451,0.1957890020745122,2175.8638878250044,2521.3772477769808,1902.7138878250043,2248.2272477769807,False
0.15,0.15,0.15,0.1,0.2,0.2,0.05,9.3402,0.3275,2603.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,462.0202738274128,0.1957890020745122,2214.966819005871,2517.3749006386115,1941.816819005871,2244.2249006386114,False
0.15,0.15,0.2,0.1,0.2,0.15,0.05,9.4204,0.33,2615.7000000000003,Nb-Ta-V-Cr-Mo-Ti-W,516.6370079547095,0.1632993161855452,2240.9999105149486,2529.270292570091,1967.8499105149485,2256.120292570091,False
