Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.2,0.15,0.25,0.1,0.15,0.1,0.05,9.4151,0.3369999999999999,2620.5,Nb-Ta-V-Cr-Mo-Ti-W,520.5461477119005,0.1154700538379251,2239.4085598250745,2512.948298930401,1966.2585598250744,2239.798298930401,False
0.2,0.15,0.25,0.15,0.1,0.1,0.05,9.2586,0.332,2584.7,Nb-Ta-V-Cr-Mo-Ti-W,555.8234096342993,0.135400640077266,2163.827381795226,2439.809076793522,1890.6773817952258,2166.6590767935218,False
0.2,0.15,0.25,0.2,0.1,0.05,0.05,9.3908,0.3265,2596.65,Nb-Ta-V-Cr-Mo-Ti-W,673.4186015575774,0.1825741858350554,2158.3183573105166,2429.438886459661,1885.1683573105165,2156.2888864596607,False
0.2,0.15,0.3,0.05,0.15,0.1,0.05,9.3631,0.345,2620.65,Nb-Ta-V-Cr-Mo-Ti-W,435.6787419388138,0.1290994448735805,2292.7590738931085,2537.6297303951333,2019.6090738931084,2264.479730395133,False
0.2,0.15,0.3,0.1,0.1,0.1,0.05,9.2066,0.34,2584.85,Nb-Ta-V-Cr-Mo-Ti-W,477.2161233337563,0.1290994448735805,2212.248892239254,2463.2053990648988,1939.098892239254,2190.0553990648987,False
0.2,0.15,0.3,0.1,0.15,0.05,0.05,9.4953,0.3395,2632.6,Nb-Ta-V-Cr-Mo-Ti-W,564.4974704433265,0.1471960144387974,2270.347992869457,2524.6151734019736,1997.1979928694568,2251.4651734019735,False
0.2,0.15,0.3,0.15,0.1,0.05,0.05,9.3388,0.3345,2596.8,Nb-Ta-V-Cr-Mo-Ti-W,592.609494929094,0.1632993161855452,2205.661870510403,2452.8020795356165,1932.5118705104028,2179.6520795356164,False
0.2,0.15,0.35,0.05,0.1,0.1,0.05,9.1546,0.3480000000000001,2585.0,Nb-Ta-V-Cr-Mo-Ti-W,400.9240769792229,0.1581138830084189,2249.957489228391,2484.7238007317014,1976.8074892283908,2211.5738007317013,False
0.2,0.15,0.35,0.05,0.15,0.05,0.05,9.4433,0.3475,2632.75,Nb-Ta-V-Cr-Mo-Ti-W,478.80970010799166,0.1732050807568877,2311.571727402309,2547.2765551410384,2038.421727402309,2274.1265551410384,False
0.2,0.15,0.35,0.1,0.1,0.05,0.05,9.2868,0.3425000000000001,2596.95,Nb-Ta-V-Cr-Mo-Ti-W,513.3688079158851,0.1732050807568877,2243.3676611405076,2473.920138751355,1970.2176611405075,2200.770138751355,False
