Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.15,0.2,0.1,0.2,0.1,0.0,9.0896,0.3399999999999999,2608.9,Nb-Ta-V-Cr-Mo-Ti,480.1688661989124,0.1683250823060346,2213.994797301877,2483.516815191478,1940.844797301877,2210.366815191478,False
0.25,0.15,0.2,0.15,0.2,0.05,0.0,9.221800000000002,0.3345,2620.8500000000004,Nb-Ta-V-Cr-Mo-Ti,617.5674754339869,0.1957890020745122,2175.3551961579496,2458.7263156507825,1902.2051961579496,2185.5763156507824,False
0.25,0.15,0.25,0.1,0.15,0.1,0.0,8.8811,0.343,2573.25,Nb-Ta-V-Cr-Mo-Ti,442.3599410072299,0.1471960144387974,2197.612118841542,2434.222855885294,1924.4621188415417,2161.072855885294,False
0.25,0.15,0.25,0.1,0.2,0.05,0.0,9.1698,0.3425,2621.0,Nb-Ta-V-Cr-Mo-Ti,529.7167876437395,0.1779513042005218,2246.3449277286554,2494.410109045408,1973.1949277286553,2221.2601090454077,False
0.25,0.15,0.25,0.15,0.15,0.05,0.0,9.0133,0.3375,2585.2,Nb-Ta-V-Cr-Mo-Ti,563.1397999412395,0.1779513042005218,2175.781721951895,2411.4197733263513,1902.631721951895,2138.2697733263512,False
0.25,0.15,0.3,0.05,0.2,0.05,0.0,9.1178,0.3505,2621.15,Nb-Ta-V-Cr-Mo-Ti,444.1202443293897,0.187082869338697,2306.7235144036267,2527.4492150190963,2033.5735144036266,2254.299215019096,False
0.25,0.15,0.3,0.1,0.15,0.05,0.0,8.961300000000001,0.3455,2585.3500000000004,Nb-Ta-V-Cr-Mo-Ti,483.6104049604788,0.1732050807568877,2229.0072593977925,2444.406880468886,1955.8572593977924,2171.256880468886,False
0.25,0.15,0.35,0.05,0.15,0.05,0.0,8.9093,0.3535,2585.5,Nb-Ta-V-Cr-Mo-Ti,406.59902031258457,0.1957890020745121,2269.774235126816,2474.875349776331,1996.624235126816,2201.725349776331,False
0.25,0.2,0.1,0.15,0.15,0.15,0.0,9.3819,0.331,2616.3500000000004,Nb-Ta-V-Cr-Mo-Ti,474.8680945542369,0.1999999999999999,2084.479923013334,2450.028217390289,1811.3299230133339,2176.8782173902887,False
0.25,0.2,0.15,0.15,0.1,0.15,0.0,9.1734,0.334,2580.7,Nb-Ta-V-Cr-Mo-Ti,436.14247843485737,0.1683250823060346,2091.231879027658,2404.2994158429415,1818.081879027658,2131.1494158429414,False
