Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.2,0.2,0.25,0.2,0.1,0.05,0.0,9.2628,0.3295,2576.4,Nb-Ta-V-Cr-Mo-Ti,609.807439405967,0.1914854215512676,2135.340625425425,2378.1080460472363,1862.190625425425,2104.958046047236,False
0.2,0.2,0.3,0.1,0.15,0.05,0.0,9.3673,0.3425,2612.35,Nb-Ta-V-Cr-Mo-Ti,512.8994865264665,0.1581138830084189,2248.093367327106,2490.16846150953,1974.943367327106,2217.01846150953,False
0.2,0.2,0.3,0.15,0.1,0.05,0.0,9.2108,0.3375,2576.55,Nb-Ta-V-Cr-Mo-Ti,533.8764471757717,0.1732050807568877,2182.5340068739406,2408.4212861152237,1909.3840068739405,2135.2712861152236,False
0.2,0.2,0.35,0.05,0.15,0.05,0.0,9.3153,0.3505,2612.5,Nb-Ta-V-Cr-Mo-Ti,433.1688432698915,0.1825741858350553,2287.095777127367,2517.002254918374,2013.945777127367,2243.852254918374,False
0.2,0.2,0.35,0.1,0.1,0.05,0.0,9.1588,0.3455,2576.7,Nb-Ta-V-Cr-Mo-Ti,459.94051366609807,0.1825741858350553,2218.942782041902,2435.2352506028433,1945.7927820419018,2162.085250602843,False
0.2,0.25,0.25,0.15,0.05,0.1,0.0,9.4511,0.3365,2584.15,Nb-Ta-V-Cr-Mo-Ti,459.48145179458527,0.1581138830084189,2138.1290835584387,2409.021809296622,1864.9790835584386,2135.871809296622,False
0.2,0.25,0.35,0.1,0.05,0.05,0.0,9.4793,0.347,2596.4,Nb-Ta-V-Cr-Mo-Ti,428.6702502315977,0.1914854215512676,2214.75436707835,2447.913223677478,1941.6043670783497,2174.763223677478,False
0.25,0.15,0.15,0.1,0.2,0.15,0.0,9.0094,0.3375,2596.8,Nb-Ta-V-Cr-Mo-Ti,426.0120072344223,0.187082869338697,2181.843599067281,2472.3329393482604,1908.693599067281,2199.1829393482603,False
0.25,0.15,0.15,0.15,0.2,0.1,0.0,9.1416,0.332,2608.75,Nb-Ta-V-Cr-Mo-Ti,566.8907539843839,0.2,2128.1523097216436,2445.0480789877497,1855.0023097216435,2171.8980789877496,False
0.25,0.15,0.2,0.05,0.25,0.1,0.0,9.246100000000002,0.345,2644.7,Nb-Ta-V-Cr-Mo-Ti,414.7530138906618,0.1957890020745122,2325.1700010426816,2567.058521678454,2052.0200010426815,2293.908521678454,False
