Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.15,0.25,0.2,0.05,0.05,0.05,9.3053,0.331,2589.35,Nb-Ta-V-Cr-Mo-Ti-W,608.8235098277308,0.1914854215512676,2143.661744317766,2407.1218084533066,1870.511744317766,2133.9718084533065,False
0.25,0.15,0.3,0.1,0.05,0.1,0.05,9.1211,0.3445,2577.55,Nb-Ta-V-Cr-Mo-Ti-W,421.99711274700365,0.1414213562373095,2194.185512539841,2436.7772647945617,1921.035512539841,2163.6272647945616,False
0.25,0.15,0.3,0.1,0.1,0.05,0.05,9.4098,0.344,2625.3,Nb-Ta-V-Cr-Mo-Ti-W,511.52357677155817,0.1414213562373095,2251.15731778009,2498.3259595710347,1978.00731778009,2225.1759595710346,False
0.25,0.15,0.3,0.15,0.05,0.05,0.05,9.2533,0.3389999999999999,2589.5,Nb-Ta-V-Cr-Mo-Ti-W,532.4927149433861,0.1732050807568877,2190.837236395994,2427.878750413913,1917.6872363959938,2154.728750413913,False
0.25,0.15,0.35,0.05,0.1,0.05,0.05,9.3578,0.352,2625.45,Nb-Ta-V-Cr-Mo-Ti-W,431.5321788721265,0.1683250823060346,2289.2624075302792,2520.003520697102,2016.1124075302791,2246.853520697102,False
0.25,0.15,0.35,0.1,0.05,0.05,0.05,9.2013,0.347,2589.65,Nb-Ta-V-Cr-Mo-Ti-W,458.2416623228865,0.1825741858350553,2226.0849411104186,2446.0413167411843,1952.9349411104185,2172.8913167411843,False
0.3,0.05,0.2,0.1,0.1,0.15,0.1,8.971400000000001,0.339,2594.35,Nb-Ta-V-Cr-Mo-Ti-W,446.43167366429617,0.2,2190.872811436602,2466.8917771259985,1917.7228114366021,2193.7417771259984,False
0.3,0.05,0.2,0.1,0.15,0.1,0.1,9.2601,0.3384999999999999,2642.1,Nb-Ta-V-Cr-Mo-Ti-W,528.8807127005365,0.2,2230.708418354727,2521.76520378341,1957.558418354727,2248.61520378341,False
0.3,0.05,0.25,0.05,0.15,0.1,0.1,9.2081,0.3465,2642.25,Nb-Ta-V-Cr-Mo-Ti-W,437.56941218317,0.1957890020745121,2307.1771581986277,2549.504566319041,2034.0271581986276,2276.3545663190407,False
0.3,0.05,0.25,0.1,0.1,0.1,0.1,9.0516,0.3414999999999999,2606.45,Nb-Ta-V-Cr-Mo-Ti-W,493.23109546012034,0.1957890020745122,2221.9768294377463,2477.303660029171,1948.8268294377463,2204.153660029171,False
