Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.1,0.25,0.15,0.15,0.05,0.05,9.1413,0.3345,2605.45,Nb-Ta-V-Cr-Mo-Ti-W,620.813206662475,0.1825741858350553,2195.8517642353677,2451.4833970005166,1922.7017642353676,2178.3333970005165,False
0.25,0.1,0.3,0.05,0.1,0.1,0.1,9.4056,0.3465,2633.6,Nb-Ta-V-Cr-Mo-Ti-W,434.70461882222935,0.1471960144387974,2292.282563513016,2541.8417594368448,2019.132563513016,2268.6917594368447,False
0.25,0.1,0.3,0.05,0.15,0.1,0.05,8.9571,0.348,2593.65,Nb-Ta-V-Cr-Mo-Ti-W,412.2510242249418,0.1632993161855452,2274.2809478926974,2496.312056874892,2001.1309478926973,2223.1620568748917,False
0.25,0.1,0.3,0.05,0.2,0.05,0.05,9.2458,0.3475,2641.4,Nb-Ta-V-Cr-Mo-Ti-W,487.76288750009365,0.1914854215512676,2328.3900231939765,2555.6480940448973,2055.2400231939764,2282.4980940448972,False
0.25,0.1,0.3,0.1,0.05,0.1,0.1,9.2491,0.3415,2597.8,Nb-Ta-V-Cr-Mo-Ti-W,476.358897428321,0.1632993161855452,2217.4145272281953,2474.7396845755607,1944.2645272281952,2201.5896845755606,False
0.25,0.1,0.3,0.1,0.15,0.05,0.05,9.0893,0.3425,2605.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,535.7204915617605,0.1779513042005218,2250.554497301155,2479.3476745827834,1977.404497301155,2206.1976745827833,False
0.25,0.1,0.3,0.15,0.05,0.05,0.1,9.3813,0.336,2609.75,Nb-Ta-V-Cr-Mo-Ti-W,592.066083828642,0.1914854215512676,2214.0565952561733,2470.512835677964,1940.9065952561732,2197.362835677964,False
0.25,0.1,0.35,0.05,0.1,0.05,0.1,9.4858,0.349,2645.7,Nb-Ta-V-Cr-Mo-Ti-W,477.8615985091949,0.187082869338697,2313.3042947881386,2551.22398201309,2040.1542947881385,2278.07398201309,False
0.25,0.1,0.35,0.05,0.15,0.05,0.05,9.0373,0.3505,2605.75,Nb-Ta-V-Cr-Mo-Ti-W,452.702015568917,0.1999999999999999,2294.2129119743795,2505.7079276502013,2021.0629119743794,2232.5579276502012,False
0.25,0.1,0.35,0.1,0.05,0.05,0.1,9.3293,0.344,2609.9,Nb-Ta-V-Cr-Mo-Ti-W,512.448127619179,0.2,2250.480495979518,2484.8863060964263,1977.3304959795178,2211.7363060964262,False
