Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.25,0.15,0.15,0.1,0.15,0.15,0.05,9.4579,0.336,2636.75,Nb-Ta-V-Cr-Mo-Ti-W,446.9147575854038,0.1414213562373095,2206.7271172332753,2524.3186016586733,1933.5771172332752,2251.168601658673,False
0.25,0.15,0.15,0.15,0.1,0.15,0.05,9.3014,0.331,2600.9500000000003,Nb-Ta-V-Cr-Mo-Ti-W,498.31328395246027,0.1581138830084189,2110.858556181023,2449.808693715639,1837.7085561810227,2176.658693715639,False
0.25,0.15,0.15,0.2,0.1,0.1,0.05,9.4336,0.3255,2612.9,Nb-Ta-V-Cr-Mo-Ti-W,631.8859067829745,0.187082869338697,2078.2504997862916,2433.1422793588995,1805.1004997862915,2159.9922793588994,False
0.25,0.15,0.2,0.1,0.1,0.15,0.05,9.2494,0.339,2601.1,Nb-Ta-V-Cr-Mo-Ti-W,418.72147999684506,0.1154700538379251,2189.728668760459,2477.988446416706,1916.578668760459,2204.838446416706,False
0.25,0.15,0.2,0.15,0.1,0.1,0.05,9.3816,0.3335,2613.05,Nb-Ta-V-Cr-Mo-Ti-W,548.6653414352744,0.135400640077266,2155.185835123728,2461.873693774697,1882.0358351237278,2188.723693774697,False
0.25,0.15,0.2,0.2,0.05,0.1,0.05,9.2251,0.3285,2577.25,Nb-Ta-V-Cr-Mo-Ti-W,570.4088827014222,0.1825741858350554,2088.313539643467,2392.6871784995915,1815.1635396434667,2119.5371784995914,False
0.25,0.15,0.25,0.05,0.15,0.1,0.05,9.4861,0.3465,2649.0,Nb-Ta-V-Cr-Mo-Ti-W,416.7494954943455,0.1080123449734643,2309.8876786167666,2562.5309683384767,2036.7376786167665,2289.3809683384766,False
0.25,0.15,0.25,0.1,0.1,0.1,0.05,9.3296,0.3415,2613.2,Nb-Ta-V-Cr-Mo-Ti-W,467.4489287309036,0.1080123449734643,2219.1991781463603,2487.776737532334,1946.0491781463602,2214.626737532334,False
0.25,0.15,0.25,0.15,0.05,0.1,0.05,9.173100000000002,0.3365,2577.4,Nb-Ta-V-Cr-Mo-Ti-W,495.0697991217049,0.1471960144387974,2147.6482939677126,2416.1626834739513,1874.4982939677125,2143.0126834739513,False
0.25,0.15,0.25,0.15,0.1,0.05,0.05,9.4618,0.3359999999999999,2625.15,Nb-Ta-V-Cr-Mo-Ti-W,593.8838581145465,0.1471960144387974,2200.174859635998,2474.8126461734905,1927.024859635998,2201.6626461734904,False
