Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,ST_LT_TIMEOUT
0.3,0.1,0.2,0.15,0.1,0.1,0.05,8.9756,0.3365,2586.05,Nb-Ta-V-Cr-Mo-Ti-W,519.2190917228007,0.1825741858350553,2136.9640079643414,2415.578089182934,1863.8140079643413,2142.428089182934,False
0.3,0.1,0.2,0.15,0.15,0.05,0.05,9.2643,0.3359999999999999,2633.8,Nb-Ta-V-Cr-Mo-Ti-W,616.2161379526095,0.1957890020745121,2174.910462057911,2471.149461783287,1901.760462057911,2197.9994617832867,False
0.3,0.1,0.25,0.05,0.2,0.05,0.05,9.3688,0.349,2669.75,Nb-Ta-V-Cr-Mo-Ti-W,470.0417708812833,0.1914854215512676,2337.1087304752855,2580.2374859611105,2063.9587304752854,2307.0874859611104,False
0.3,0.1,0.25,0.1,0.05,0.1,0.1,9.3721,0.343,2626.15,Nb-Ta-V-Cr-Mo-Ti-W,465.9314957513391,0.1632993161855452,2226.669737344149,2502.5625709393353,1953.5197373441488,2229.412570939335,False
0.3,0.1,0.25,0.1,0.1,0.1,0.05,8.9236,0.3445,2586.2,Nb-Ta-V-Cr-Mo-Ti-W,440.5833392603241,0.1632993161855452,2202.351662604457,2443.818943714295,1929.201662604457,2170.668943714295,False
0.3,0.1,0.25,0.1,0.15,0.05,0.05,9.2123,0.344,2633.95,Nb-Ta-V-Cr-Mo-Ti-W,528.0341897554449,0.1779513042005218,2247.2317112352225,2502.031809391094,1974.0817112352224,2228.881809391094,False
0.3,0.1,0.25,0.15,0.1,0.05,0.05,9.0558,0.339,2598.15,Nb-Ta-V-Cr-Mo-Ti-W,561.4700220060585,0.1914854215512676,2182.1033662796763,2428.1894175691377,1908.9533662796762,2155.0394175691376,False
0.3,0.1,0.3,0.05,0.15,0.05,0.05,9.1603,0.352,2634.1000000000004,Nb-Ta-V-Cr-Mo-Ti-W,442.1990096469581,0.187082869338697,2307.344306745257,2531.144608279909,2034.194306745257,2257.994608279909,False
0.3,0.1,0.3,0.1,0.05,0.05,0.1,9.4523,0.3455,2638.25,Nb-Ta-V-Cr-Mo-Ti-W,509.8631013326949,0.187082869338697,2260.7265244858104,2513.233814158868,1987.5765244858103,2240.083814158868,False
0.3,0.1,0.3,0.1,0.1,0.05,0.05,9.003800000000002,0.347,2598.3,Nb-Ta-V-Cr-Mo-Ti-W,481.6416962459082,0.187082869338697,2234.962040059405,2454.2015507973533,1961.8120400594048,2181.0515507973532,False
