system,n_elements,sigma_y_UB_MPa,prunable
Ta-V-Mo-W,4,4926.595924281548,False
Ta-V-Ti-W,4,5346.629477826613,False
Nb-V-Mo-W,4,5656.897098898597,False
Nb-Ta-V-W,4,5656.897098898719,False
Nb-V-Ti-W,4,5933.184590154973,False
V-Cr-Mo-W,4,6457.0677804111465,False
V-Cr-Mo-Ti,4,6591.45614795139,False
Ta-V-Cr-Mo,4,7133.263656524278,False
Ta-Cr-Mo-Ti,4,8281.165769575957,False
Nb-Ta-Cr-Mo,4,9270.021196713693,False
Nb-Cr-Mo-Ti,4,9270.021196714535,False
Nb-V-Cr-Mo,4,9270.021196719768,False
Cr-Mo-Ti-W,4,9424.873433865278,False
V-Cr-Ti-W,4,9424.873433865316,False
Ta-Cr-Mo-W,4,10164.348070330789,False
Ta-V-Cr-W,4,10164.348111955382,False
Ta-Cr-Ti-W,4,11725.471345452981,False
Nb-Ta-Cr-W,4,13065.103817821557,False
Nb-Cr-Mo-W,4,13065.103817821557,False
Nb-Cr-Ti-W,4,13065.103817826037,False
Nb-V-Cr-W,4,13065.103817826606,False
Nb-Ta-Mo-Ti-W,5,1365.3826623181735,False
Nb-Ta-V-Cr-Ti,5,3890.2865787816245,False
Nb-Ta-V-Mo-Ti,5,4059.9257603298997,False
Ta-V-Mo-Ti-W,5,5346.629477598301,False
Nb-Ta-V-Mo-W,5,5656.897098898597,False
Nb-Ta-V-Ti-W,5,5933.184590154257,False
Nb-V-Mo-Ti-W,5,5933.184590155026,False
Ta-V-Cr-Mo-Ti,5,8281.165769588843,False
Nb-Ta-V-Cr-Mo,5,9270.021196717871,False
Nb-Ta-Cr-Mo-Ti,5,9270.021196718337,False
Nb-V-Cr-Mo-Ti,5,9270.021196721818,False
V-Cr-Mo-Ti-W,5,9424.873433867879,False
Ta-V-Cr-Mo-W,5,10164.348111952624,False
Ta-V-Cr-Ti-W,5,11725.471345482276,False
Ta-Cr-Mo-Ti-W,5,11725.471345513612,False
Nb-V-Cr-Mo-W,5,13065.10381782153,False
Nb-Ta-Cr-Mo-W,5,13065.103817821557,False
Nb-Ta-Cr-Ti-W,5,13065.103817821744,False
Nb-V-Cr-Ti-W,5,13065.103817825919,False
Nb-Cr-Mo-Ti-W,5,13065.103817825919,False
Nb-Ta-V-Cr-W,5,13065.103817831101,False
Nb-Ta-V-Mo-Ti-W,6,5933.184590154555,False
Nb-Ta-V-Cr-Mo-Ti,6,9270.0211967198,False
Ta-V-Cr-Mo-Ti-W,6,11725.471345493406,False
Nb-Ta-Cr-Mo-Ti-W,6,13065.103817830699,False
Nb-V-Cr-Mo-Ti-W,6,13065.103817830995,False
Nb-Ta-V-Cr-Mo-W,6,13065.103817838954,False
Nb-Ta-V-Cr-Ti-W,6,13065.103817842411,False
Nb-Ta-V-Cr-Mo-Ti-W,7,13065.103817846739,False
Nb-Ta,2,0.0,True
Mo-W,2,5.6236370996852605,True
Nb-Ti,2,9.127434074639412,True
Ta-Ti,2,29.25785474244587,True
V-Cr,2,129.71597693851186,True
Ti-W,2,155.73160229219874,True
Nb-V,2,178.42242714774684,True
Mo-Ti,2,188.84460876253948,True
Nb-W,2,288.1296977825599,True
V-Ti,2,368.35256260675095,True
Nb-Ta-Ti,3,33.07832782959145,True
Nb-Ta-W,3,288.1296977825772,True
Mo-Ti-W,3,329.86123545079937,True
