Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.15,0.15,0.25,0.1,0.15,0.15,0.05,9.2119,0.333,2580.05,Nb-Ta-V-Cr-Mo-Ti-W,483.5614571681967,0.14142135623730953
0.15,0.15,0.25,0.15,0.15,0.1,0.05,9.3441,0.3275,2592.0,Nb-Ta-V-Cr-Mo-Ti-W,608.2027837599679,0.15811388300841897
0.15,0.15,0.3,0.0,0.1,0.2,0.1,9.4762,0.345,2608.2,Nb-Ta-V-Mo-Ti-W,295.9411247962178,0.16832508230603463
0.15,0.15,0.3,0.0,0.2,0.15,0.05,9.316400000000002,0.346,2616.0,Nb-Ta-V-Mo-Ti-W,339.5251484940066,0.18257418583505536
0.15,0.15,0.3,0.05,0.15,0.15,0.05,9.1599,0.3409999999999999,2580.2,Nb-Ta-V-Cr-Mo-Ti-W,402.5851198009088,0.15275252316519466
0.15,0.15,0.3,0.05,0.2,0.1,0.05,9.4486,0.3405,2627.95,Nb-Ta-V-Cr-Mo-Ti-W,475.0023758477772,0.16832508230603463
0.15,0.15,0.3,0.1,0.05,0.15,0.1,9.4519,0.3345,2584.35,Nb-Ta-V-Cr-Mo-Ti-W,466.37695466791246,0.15275252316519466
0.15,0.15,0.3,0.1,0.15,0.1,0.05,9.2921,0.3355,2592.15,Nb-Ta-V-Cr-Mo-Ti-W,524.6026813723719,0.15275252316519466
0.15,0.15,0.3,0.15,0.15,0.05,0.05,9.4243,0.3299999999999999,2604.1,Nb-Ta-V-Cr-Mo-Ti-W,642.6922074228398,0.18257418583505536
0.15,0.15,0.35,0.0,0.15,0.15,0.05,9.1079,0.349,2580.35,Nb-Ta-V-Mo-Ti-W,324.3263157854672,0.19148542155126763
0.15,0.15,0.35,0.05,0.05,0.15,0.1,9.3999,0.3424999999999999,2584.5,Nb-Ta-V-Cr-Mo-Ti-W,391.0513817466155,0.17795130420052185
0.15,0.15,0.35,0.05,0.15,0.1,0.05,9.2401,0.3435,2592.3,Nb-Ta-V-Cr-Mo-Ti-W,442.81175596445934,0.17795130420052185
0.15,0.15,0.35,0.1,0.15,0.05,0.05,9.3723,0.338,2604.25,Nb-Ta-V-Cr-Mo-Ti-W,559.0289215942595,0.19148542155126763
0.15,0.2,0.15,0.1,0.1,0.25,0.05,9.372000000000002,0.3295,2575.55,Nb-Ta-V-Cr-Mo-Ti-W,357.88156206252864,0.19148542155126763
0.15,0.2,0.2,0.0,0.15,0.25,0.05,9.4765,0.3425,2611.5,Nb-Ta-V-Mo-Ti-W,216.7492099076925,0.18708286933869708
0.15,0.2,0.2,0.05,0.1,0.25,0.05,9.320000000000002,0.3375,2575.7,Nb-Ta-V-Cr-Mo-Ti-W,284.76024907845266,0.17320508075688773
0.15,0.2,0.2,0.05,0.2,0.2,0.0,9.1602,0.3385,2583.5,Nb-Ta-V-Cr-Mo-Ti,336.027689088384,0.18708286933869708
0.15,0.2,0.2,0.05,0.25,0.15,0.0,9.448900000000002,0.338,2631.25,Nb-Ta-V-Cr-Mo-Ti,404.9936025791445,0.2
0.15,0.2,0.2,0.1,0.1,0.2,0.05,9.4522,0.3319999999999999,2587.65,Nb-Ta-V-Cr-Mo-Ti-W,410.3925065089932,0.14142135623730953
0.15,0.2,0.2,0.1,0.2,0.15,0.0,9.2924,0.333,2595.4500000000003,Nb-Ta-V-Cr-Mo-Ti,471.4243983433577,0.17320508075688776
0.15,0.2,0.2,0.15,0.2,0.1,0.0,9.424600000000002,0.3275,2607.4,Nb-Ta-V-Cr-Mo-Ti,607.4852211951423,0.18708286933869708
